from,to,year,tidligere_kommunenavn
1421,4641,2020,Aurland
1422,4642,2020,Lærdal
1424,4643,2020,Årdal
1426,4644,2020,Luster
1428,4645,2020,Askvoll
1429,4646,2020,Fjaler
1430,4647,2020,Gaular
1431,4647,2020,Jølster
1432,4647,2020,Førde
1433,4647,2020,Naustdal
1438,4648,2020,Bremanger
1441,4649,2020,Selje
1443,4649,2020,Eid
1445,4650,2020,Gloppen
1449,4651,2020,Stryn
5001,5001,2020,Trondheim
5030,5001,2020,Klæbu
5004,5006,2020,Steinkjer
5039,5006,2020,Verran
5005,5007,2020,Namsos - Nåavmesjenjaelmie
5040,5007,2020,Namdalseid
5048,5007,2020,Fosnes
1571,5055,2020,Halsa
5011,5055,2020,Hemne
5012,5055,2020,Snillfjord
5012,5056,2020,Snillfjord
5013,5056,2020,Hitra
5015,5057,2020,Ørland
5017,5057,2020,Bjugn
5018,5058,2020,Åfjord
5019,5058,2020,Roan
5012,5059,2020,Snillfjord
5016,5059,2020,Agdenes
5023,5059,2020,Meldal
5024,5059,2020,Orkdal
5050,5060,2020,Vikna
5051,5060,2020,Nærøy
1902,5401,2020,Tromsø
1903,5402,2020,Harstad - Hárstták
2012,5403,2020,Alta
2002,5404,2020,Vardø
2003,5405,2020,Vadsø
2004,5406,2020,Hammerfest - Hámmerfeasta
2017,5406,2020,Kvalsund
1911,5411,2020,Kvæfjord
1852,5412,2020,Dielddanuorri - Tjeldsund
1913,5412,2020,Skånland
1917,5413,2020,Ibestad
1919,5414,2020,Gratangen
1920,5415,2020,Loabák - Lavangen
1922,5416,2020,Bardu
1923,5417,2020,Salangen
1924,5418,2020,Målselv
1925,5419,2020,Sørreisa
1926,5420,2020,Dyrøy
1927,5421,2020,Tranøy
1928,5421,2020,Torsken
1929,5421,2020,Berg
1931,5421,2020,Lenvik
1933,5422,2020,Balsfjord
1936,5423,2020,Karlsøy
1938,5424,2020,Lyngen
1939,5425,2020,Storfjord - Omasvuotna - Omasvuono
1940,5426,2020,Gáivuotna - Kåfjord - Kaivuono
1941,5427,2020,Skjervøy
1942,5428,2020,Nordreisa - Ráisa - Raisi
1943,5429,2020,Kvænangen
2011,5430,2020,Guovdageaidnu - Kautokeino
2014,5432,2020,Loppa
2015,5433,2020,Hasvik
2018,5434,2020,Måsøy
2019,5435,2020,Nordkapp
2020,5436,2020,Porsanger - Porsángu - Porsanki
2021,5437,2020,Kárášjohka - Karasjok
2022,5438,2020,Lebesby
2023,5439,2020,Gamvik
2024,5440,2020,Berlevåg
2025,5441,2020,Deatnu - Tana
2027,5442,2020,Unjárga - Nesseby
2028,5443,2020,Båtsfjord
2030,5444,2020,Sør-Varanger
1853,1853,2022,Evenes
5001,5001,2023,Trondheim
5025,5025,2023,Røros
1507,1508,2024,Ålesund
1507,1580,2024,Ålesund
1833,1833,2024,Rana
1845,1845,2024,Sørfold
3001,3101,2024,Halden
3002,3103,2024,Moss
3003,3105,2024,Sarpsborg
3004,3107,2024,Fredrikstad
3011,3110,2024,Hvaler
3017,3112,2024,Råde
3018,3114,2024,Våler (Viken)
3015,3116,2024,Skiptvet
3014,3118,2024,Indre Østfold
3016,3120,2024,Rakkestad
3013,3122,2024,Marker
3012,3124,2024,Aremark
3024,3201,2024,Bærum
3025,3203,2024,Asker
3030,3205,2024,Lillestrøm
3020,3207,2024,Nordre Follo
3033,3209,2024,Ullensaker
3023,3212,2024,Nesodden
3022,3214,2024,Frogn
3019,3216,2024,Vestby
3021,3218,2024,Ås
3028,3220,2024,Enebakk
3029,3222,2024,Lørenskog
3027,3224,2024,Rælingen
3026,3226,2024,Aurskog-Høland
3034,3228,2024,Nes
3032,3230,2024,Gjerdrum
3031,3232,2024,Nittedal
3054,3234,2024,Lunner
3053,3236,2024,Jevnaker
3036,3238,2024,Nannestad
3035,3240,2024,Eidsvoll
3037,3242,2024,Hurdal
3005,3301,2024,Drammen
3006,3303,2024,Kongsberg
3007,3305,2024,Ringerike
3038,3310,2024,Hole
3049,3312,2024,Lier
3048,3314,2024,Øvre Eiker
3047,3316,2024,Modum
3046,3318,2024,Krødsherad
3039,3320,2024,Flå
3040,3322,2024,Nesbyen
3041,3324,2024,Gol
3042,3326,2024,Hemsedal
3043,3328,2024,Ål
3044,3330,2024,Hol
3045,3332,2024,Sigdal
3050,3334,2024,Flesberg
3051,3336,2024,Rollag
3052,3338,2024,Nore og Uvdal
3801,3901,2024,Horten
3802,3903,2024,Holmestrand
3803,3905,2024,Tønsberg
3804,3907,2024,Sandefjord
3805,3909,2024,Larvik
3811,3911,2024,Færder
3806,4001,2024,Porsgrunn
3807,4003,2024,Skien
3808,4005,2024,Notodden
3812,4010,2024,Siljan
3813,4012,2024,Bamble
3814,4014,2024,Kragerø
3815,4016,2024,Drangedal
3816,4018,2024,Nome
3817,4020,2024,Midt-Telemark
3820,4022,2024,Seljord
3819,4024,2024,Hjartdal
3818,4026,2024,Tinn
3821,4028,2024,Kviteseid
3822,4030,2024,Nissedal
3823,4032,2024,Fyresdal
3824,4034,2024,Tokke
3825,4036,2024,Vinje
5037,5037,2024,Levanger
5401,5501,2024,Tromsø
5402,5503,2024,Harstad - Hárstták
5411,5510,2024,Kvæfjord
5412,5512,2024,Dielddanuorri - Tjeldsund
5413,5514,2024,Ibestad
5414,5516,2024,Gratangen
5415,5518,2024,Loabák - Lavangen
5416,5520,2024,Bardu
5417,5522,2024,Salangen
5418,5524,2024,Målselv
5419,5526,2024,Sørreisa
5420,5528,2024,Dyrøy
5421,5530,2024,Senja
5422,5532,2024,Balsfjord
5423,5534,2024,Karlsøy
5424,5536,2024,Lyngen
5425,5538,2024,Storfjord - Omasvuotna - Omasvuono
5426,5540,2024,Gáivuotna - Kåfjord - Kaivuono
5427,5542,2024,Skjervøy
5428,5544,2024,Nordreisa - Ráisa - Raisi
5429,5546,2024,Kvænangen
5403,5601,2024,Alta
5406,5603,2024,Hammerfest - Hámmerfeasta
5444,5605,2024,Sør-Varanger
5405,5607,2024,Vadsø
5437,5610,2024,Kárášjohka - Karasjok
5430,5612,2024,Guovdageaidnu - Kautokeino
5432,5614,2024,Loppa
5433,5616,2024,Hasvik
5434,5618,2024,Måsøy
5435,5620,2024,Nordkapp
5436,5622,2024,Porsanger - Porsángu - Porsanki
5438,5624,2024,Lebesby
5439,5626,2024,Gamvik
5441,5628,2024,Deatnu - Tana
5440,5630,2024,Berlevåg
5443,5632,2024,Båtsfjord
5404,5634,2024,Vardø
5442,5636,2024,Unjárga - Nesseby
301,301,2026,Oslo
3118,3118,2026,Indre Østfold
3118,3207,2026,Indre Østfold
3118,3216,2026,Indre Østfold
5006,5006,2026,Steinkjer
5536,5536,2026,Lyngen
